home_team,away_team,season_start,home_last10_points,away_last10_points,home_last10_gd,away_last10_gd,h2h_last5_home_points,h2h_last5_away_points
1.0,0.0,-1.7329366804956492,-1.9181875854023271,0.6240097721673493,-0.016218514248688073,0.6628725554683265,-0.5368970317235366,-1.427436694730433
3.0,0.0,-1.7329366804956492,-2.2516301386213895,0.9670337897503973,-0.23947602040926766,0.8981541868253333,-1.3366415124975977,-0.6330263917528757
3.0,1.0,-1.7329366804956492,-2.2516301386213895,0.2809857545843013,-0.5743622796501371,0.42759092411131955,-1.070060018906244,-1.1626332604045806
4.0,0.0,-1.7329366804956492,-2.2516301386213895,0.9670337897503973,-0.5743622796501371,1.13343581818234,-1.070060018906244,-1.1626332604045806
4.0,1.0,-1.7329366804956492,-2.2516301386213895,-0.06203826299874674,-0.6859910327304269,0.3099501084328161,-1.3366415124975977,-0.6330263917528757
4.0,3.0,-1.7329366804956492,-1.7514663087927957,-0.23355027179027077,-0.4627335265698473,-0.04297233860269419,-1.3366415124975977,-0.6330263917528757
5.0,0.0,-1.7329366804956492,-2.2516301386213895,1.4815698161249693,-1.1325060450515863,1.368717449539347,-1.3366415124975977,-0.6330263917528757
5.0,1.0,-1.7329366804956492,-2.2516301386213895,-0.23355027179027077,-1.355763551212166,0.07466847707580924,-1.3366415124975977,-0.6330263917528757
5.0,3.0,-1.7329366804956492,-2.0849088620118583,-0.23355027179027077,-1.355763551212166,-0.04297233860269419,-1.3366415124975977,-0.6330263917528757
5.0,4.0,-1.7329366804956492,-2.0849088620118583,-0.06203826299874674,-1.4673923042924557,0.3099501084328161,-1.070060018906244,-1.1626332604045806
6.0,0.0,-1.7329366804956492,-2.2516301386213895,1.4815698161249693,-0.7976197858107167,1.4863582652178504,-1.3366415124975977,-0.6330263917528757
6.0,1.0,-1.7329366804956492,-1.7514663087927957,-0.5765742893733188,-0.6859910327304269,-0.04297233860269419,-1.070060018906244,-1.1626332604045806
6.0,3.0,-1.7329366804956492,-1.2513024789642022,0.10947374579277727,-0.5743622796501371,0.07466847707580924,-1.3366415124975977,-0.6330263917528757
6.0,4.0,-1.7329366804956492,-1.0845812023546708,0.4524977633758253,-0.5743622796501371,0.545231739789823,-1.3366415124975977,-0.6330263917528757
6.0,5.0,-1.7329366804956492,-0.5844173725260772,-0.4050622805817948,-0.4627335265698473,-0.27825396995970103,-1.3366415124975977,-0.6330263917528757
10.0,0.0,-1.7329366804956492,-0.7511386491356085,1.3100578073334455,0.31866774499218137,1.368717449539347,-1.3366415124975977,-0.6330263917528757
10.0,1.0,-1.7329366804956492,-0.25097481930701476,-0.7480862981648428,0.541925251152761,-0.16061315428119763,-1.070060018906244,-1.1626332604045806
10.0,3.0,-1.7329366804956492,-0.08425354269748353,0.2809857545843013,0.541925251152761,0.3099501084328161,-1.3366415124975977,-0.6330263917528757
10.0,4.0,-1.7329366804956492,0.41591028713111017,0.2809857545843013,0.7651827573133406,0.42759092411131955,-0.5368970317235366,-1.427436694730433
10.0,5.0,-1.7329366804956492,0.9160741169597039,-0.23355027179027077,0.9884402634739201,-0.16061315428119763,-0.5368970317235366,-1.427436694730433
10.0,6.0,-1.7329366804956492,1.4162379467882975,1.1385457985419214,1.6582127819556591,1.2510766338608437,-0.5368970317235366,-1.427436694730433
12.0,0.0,-1.7329366804956492,-1.5847450321832646,1.3100578073334455,-0.4627335265698473,1.2510766338608437,-1.3366415124975977,-0.6330263917528757
