season,home_team,away_team,home_goals,away_goals
2012-2013,Reading,LIV,0,0
2012-2013,Reading,MCI,0,2
2012-2013,Reading,MUN,3,4
2012-2013,Reading,NEW,2,2
2012-2013,Reading,NOR,0,0
2012-2013,Reading,QPR,0,0
2012-2013,Reading,SOU,0,2
2012-2013,Reading,STK,1,1
2012-2013,Reading,SUN,2,1
2012-2013,Reading,SWA,0,0
2012-2013,Reading,TOT,1,3
2012-2013,Reading,WBA,3,2
2012-2013,Reading,WHU,1,0
2012-2013,Reading,WIG,0,3
2012-2013,Southampton,ARS,1,1
2012-2013,Southampton,AVL,4,1
2012-2013,Southampton,CHE,2,1
2012-2013,Southampton,EVE,0,0
2012-2013,Southampton,FUL,2,2
2012-2013,Southampton,LIV,3,1
2012-2013,Southampton,MCI,3,1
2012-2013,Southampton,MUN,2,3
2012-2013,Southampton,NEW,2,0
2012-2013,Southampton,NOR,1,1
2012-2013,Southampton,QPR,1,2
2012-2013,Southampton,REA,1,0
2012-2013,Southampton,STK,1,1
2012-2013,Southampton,SUN,0,1
2012-2013,Southampton,SWA,1,1
2012-2013,Southampton,TOT,1,2
2012-2013,Southampton,WBA,0,3
2012-2013,Southampton,WHU,1,1
2012-2013,Southampton,WIG,0,2
2012-2013,Stoke City,ARS,0,0
2012-2013,Stoke City,AVL,1,3
2012-2013,Stoke City,CHE,0,4
2012-2013,Stoke City,EVE,1,1
2012-2013,Stoke City,FUL,1,0
2012-2013,Stoke City,LIV,3,1
2012-2013,Stoke City,MCI,1,1
2012-2013,Stoke City,MUN,0,2
2012-2013,Stoke City,NEW,2,1
2012-2013,Stoke City,NOR,1,0
2012-2013,Stoke City,QPR,1,0
2012-2013,Stoke City,REA,2,1
2012-2013,Stoke City,SOU,3,3
2012-2013,Stoke City,SUN,0,0
2012-2013,Stoke City,SWA,2,0
2012-2013,Stoke City,TOT,1,2
2012-2013,Stoke City,WBA,0,0
2012-2013,Stoke City,WHU,0,1
2012-2013,Stoke City,WIG,2,2
2012-2013,Sunderland,ARS,0,1
2012-2013,Sunderland,AVL,0,1
2012-2013,Sunderland,CHE,1,3
2012-2013,Sunderland,EVE,1,0
2012-2013,Sunderland,FUL,2,2
2012-2013,Sunderland,LIV,1,1
2012-2013,Sunderland,MCI,1,0
2012-2013,Sunderland,MUN,0,1
2012-2013,Sunderland,NEW,1,1
2012-2013,Sunderland,NOR,1,1
2012-2013,Sunderland,QPR,0,0
2012-2013,Sunderland,REA,3,0
2012-2013,Sunderland,SOU,1,1
2012-2013,Sunderland,STK,1,1
2012-2013,Sunderland,SWA,0,0
2012-2013,Sunderland,TOT,1,2
2012-2013,Sunderland,WBA,2,4
2012-2013,Sunderland,WHU,3,0
2012-2013,Sunderland,WIG,1,0
2012-2013,Swansea City,ARS,0,2
2012-2013,Swansea City,AVL,2,2
2012-2013,Swansea City,CHE,1,1
2012-2013,Swansea City,EVE,0,3
2012-2013,Swansea City,FUL,0,3
2012-2013,Swansea City,LIV,0,0
2012-2013,Swansea City,MCI,0,0
2012-2013,Swansea City,MUN,1,1
2012-2013,Swansea City,NEW,1,0
2012-2013,Swansea City,NOR,3,4
2012-2013,Swansea City,QPR,4,1
2012-2013,Swansea City,REA,2,2
2012-2013,Swansea City,SOU,0,0
2012-2013,Swansea City,STK,3,1
2012-2013,Swansea City,SUN,2,2
2012-2013,Swansea City,TOT,1,2
2012-2013,Swansea City,WBA,3,1
2012-2013,Swansea City,WHU,3,0
2012-2013,Swansea City,WIG,2,1
2012-2013,Tottenham Hotspur,ARS,2,1
2012-2013,Tottenham Hotspur,AVL,2,0
2012-2013,Tottenham Hotspur,CHE,2,4
2012-2013,Tottenham Hotspur,EVE,2,2
2012-2013,Tottenham Hotspur,FUL,0,1
2012-2013,Tottenham Hotspur,LIV,2,1
2012-2013,Tottenham Hotspur,MCI,3,1
2012-2013,Tottenham Hotspur,MUN,1,1
2012-2013,Tottenham Hotspur,NEW,2,1
2012-2013,Tottenham Hotspur,NOR,1,1
2012-2013,Tottenham Hotspur,QPR,2,1
2012-2013,Tottenham Hotspur,REA,3,1
2012-2013,Tottenham Hotspur,SOU,1,0
2012-2013,Tottenham Hotspur,STK,0,0
2012-2013,Tottenham Hotspur,SUN,1,0
2012-2013,Tottenham Hotspur,SWA,1,0
2012-2013,Tottenham Hotspur,WBA,1,1
2012-2013,Tottenham Hotspur,WHU,3,1
2012-2013,Tottenham Hotspur,WIG,0,1
2012-2013,West Bromwich Albion,ARS,1,2
2012-2013,West Bromwich Albion,AVL,2,2
2012-2013,West Bromwich Albion,CHE,2,1
2012-2013,West Bromwich Albion,EVE,2,0
2012-2013,West Bromwich Albion,FUL,1,2
2012-2013,West Bromwich Albion,LIV,3,0
2012-2013,West Bromwich Albion,MCI,1,2
2012-2013,West Bromwich Albion,MUN,5,5
2012-2013,West Bromwich Albion,NEW,1,1
2012-2013,West Bromwich Albion,NOR,2,1
2012-2013,West Bromwich Albion,QPR,3,2
2012-2013,West Bromwich Albion,REA,1,0
2012-2013,West Bromwich Albion,SOU,2,0
2012-2013,West Bromwich Albion,STK,0,1
2012-2013,West Bromwich Albion,SUN,2,1
2012-2013,West Bromwich Albion,SWA,2,1
2012-2013,West Bromwich Albion,TOT,0,1
2012-2013,West Bromwich Albion,WHU,0,0
2012-2013,West Bromwich Albion,WIG,2,3
2012-2013,West Ham United,ARS,1,3
2012-2013,West Ham United,AVL,1,0
2012-2013,West Ham United,CHE,3,1
2012-2013,West Ham United,EVE,1,2
2012-2013,West Ham United,FUL,3,0
2012-2013,West Ham United,LIV,2,3
2012-2013,West Ham United,MCI,0,0
2012-2013,West Ham United,MUN,2,2
2012-2013,West Ham United,NEW,0,0
2012-2013,West Ham United,NOR,2,1
2012-2013,West Ham United,QPR,1,1
2012-2013,West Ham United,REA,4,2
2012-2013,West Ham United,SOU,4,1
2012-2013,West Ham United,STK,1,1
2012-2013,West Ham United,SUN,1,1
2012-2013,West Ham United,SWA,1,0
2012-2013,West Ham United,TOT,2,3
2012-2013,West Ham United,WBA,3,1
2012-2013,West Ham United,WIG,2,0
2012-2013,Wigan Athletic,ARS,0,1
2012-2013,Wigan Athletic,AVL,2,2
2012-2013,Wigan Athletic,CHE,0,2
2012-2013,Wigan Athletic,EVE,2,2
2012-2013,Wigan Athletic,FUL,1,2
2012-2013,Wigan Athletic,LIV,0,4
2012-2013,Wigan Athletic,MCI,0,2
2012-2013,Wigan Athletic,MUN,0,4
2012-2013,Wigan Athletic,NEW,2,1
2012-2013,Wigan Athletic,NOR,1,0
2012-2013,Wigan Athletic,QPR,2,2
2012-2013,Wigan Athletic,REA,3,2
2012-2013,Wigan Athletic,SOU,2,2
2012-2013,Wigan Athletic,STK,2,2
2012-2013,Wigan Athletic,SUN,2,3
2012-2013,Wigan Athletic,SWA,2,3
2012-2013,Wigan Athletic,TOT,2,2
2012-2013,Wigan Athletic,WBA,1,2
2012-2013,Wigan Athletic,WHU,2,1
