season,home_team,away_team,home_goals,away_goals,target,season_start
2013-2014,Fulham,HUL,2,2,1,2013
2013-2014,Fulham,LIV,2,3,0,2013
2013-2014,Fulham,MCI,2,4,0,2013
2013-2014,Fulham,MUN,1,3,0,2013
2013-2014,Fulham,NEW,1,0,2,2013
2013-2014,Fulham,NOR,1,0,2,2013
2013-2014,Fulham,SOU,0,3,0,2013
2013-2014,Fulham,STK,1,0,2,2013
2013-2014,Fulham,SUN,1,4,0,2013
2013-2014,Fulham,SWA,1,2,0,2013
2013-2014,Fulham,TOT,1,2,0,2013
2013-2014,Fulham,WBA,1,1,1,2013
2013-2014,Fulham,WHU,2,1,2,2013
2013-2014,Hull City,ARS,0,3,0,2013
2013-2014,Hull City,AVL,0,0,1,2013
2013-2014,Hull City,CAR,1,1,1,2013
2013-2014,Hull City,CHE,0,2,0,2013
2013-2014,Hull City,CRY,0,1,0,2013
2013-2014,Hull City,EVE,0,2,0,2013
2013-2014,Hull City,FUL,6,0,2,2013
2013-2014,Hull City,LIV,3,1,2,2013
2013-2014,Hull City,MCI,0,2,0,2013
2013-2014,Hull City,MUN,2,3,0,2013
2013-2014,Hull City,NEW,1,4,0,2013
2013-2014,Hull City,NOR,1,0,2,2013
2013-2014,Hull City,SOU,0,1,0,2013
2013-2014,Hull City,STK,0,0,1,2013
2013-2014,Hull City,SUN,1,0,2,2013
2013-2014,Hull City,SWA,1,0,2,2013
2013-2014,Hull City,TOT,1,1,1,2013
2013-2014,Hull City,WBA,2,0,2,2013
2013-2014,Hull City,WHU,1,0,2,2013
2013-2014,Liverpool,ARS,5,1,2,2013
2013-2014,Liverpool,AVL,2,2,1,2013
2013-2014,Liverpool,CAR,3,1,2,2013
2013-2014,Liverpool,CHE,0,2,0,2013
2013-2014,Liverpool,CRY,3,1,2,2013
2013-2014,Liverpool,EVE,4,0,2,2013
2013-2014,Liverpool,FUL,4,0,2,2013
2013-2014,Liverpool,HUL,2,0,2,2013
2013-2014,Liverpool,MCI,3,2,2,2013
2013-2014,Liverpool,MUN,1,0,2,2013
2013-2014,Liverpool,NEW,2,1,2,2013
2013-2014,Liverpool,NOR,5,1,2,2013
2013-2014,Liverpool,SOU,0,1,0,2013
2013-2014,Liverpool,STK,1,0,2,2013
2013-2014,Liverpool,SUN,2,1,2,2013
2013-2014,Liverpool,SWA,4,3,2,2013
2013-2014,Liverpool,TOT,4,0,2,2013
2013-2014,Liverpool,WBA,4,1,2,2013
2013-2014,Liverpool,WHU,4,1,2,2013
2013-2014,Manchester City,ARS,6,3,2,2013
2013-2014,Manchester City,AVL,4,0,2,2013
2013-2014,Manchester City,CAR,4,2,2,2013
2013-2014,Manchester City,CHE,0,1,0,2013
2013-2014,Manchester City,CRY,1,0,2,2013
2013-2014,Manchester City,EVE,3,1,2,2013
2013-2014,Manchester City,FUL,5,0,2,2013
2013-2014,Manchester City,HUL,2,0,2,2013
2013-2014,Manchester City,LIV,2,1,2,2013
2013-2014,Manchester City,MUN,4,1,2,2013
2013-2014,Manchester City,NEW,4,0,2,2013
2013-2014,Manchester City,NOR,7,0,2,2013
2013-2014,Manchester City,SOU,4,1,2,2013
2013-2014,Manchester City,STK,1,0,2,2013
2013-2014,Manchester City,SUN,2,2,1,2013
2013-2014,Manchester City,SWA,3,0,2,2013
2013-2014,Manchester City,TOT,6,0,2,2013
2013-2014,Manchester City,WBA,3,1,2,2013
2013-2014,Manchester City,WHU,2,0,2,2013
2013-2014,Manchester United,ARS,1,0,2,2013
2013-2014,Manchester United,AVL,4,1,2,2013
2013-2014,Manchester United,CAR,2,0,2,2013
2013-2014,Manchester United,CHE,0,0,1,2013
2013-2014,Manchester United,CRY,2,0,2,2013
2013-2014,Manchester United,EVE,0,1,0,2013
2013-2014,Manchester United,FUL,2,2,1,2013
2013-2014,Manchester United,HUL,3,1,2,2013
2013-2014,Manchester United,LIV,0,3,0,2013
2013-2014,Manchester United,MCI,0,3,0,2013
2013-2014,Manchester United,NEW,0,1,0,2013
2013-2014,Manchester United,NOR,4,0,2,2013
2013-2014,Manchester United,SOU,1,1,1,2013
2013-2014,Manchester United,STK,3,2,2,2013
2013-2014,Manchester United,SUN,0,1,0,2013
2013-2014,Manchester United,SWA,2,0,2,2013
2013-2014,Manchester United,TOT,1,2,0,2013
2013-2014,Manchester United,WBA,1,2,0,2013
2013-2014,Manchester United,WHU,3,1,2,2013
2013-2014,Newcastle United,ARS,0,1,0,2013
2013-2014,Newcastle United,AVL,1,0,2,2013
2013-2014,Newcastle United,CAR,3,0,2,2013
2013-2014,Newcastle United,CHE,2,0,2,2013
2013-2014,Newcastle United,CRY,1,0,2,2013
2013-2014,Newcastle United,EVE,0,3,0,2013
2013-2014,Newcastle United,FUL,1,0,2,2013
2013-2014,Newcastle United,HUL,2,3,0,2013
2013-2014,Newcastle United,LIV,2,2,1,2013
2013-2014,Newcastle United,MCI,0,2,0,2013
2013-2014,Newcastle United,MUN,0,4,0,2013
2013-2014,Newcastle United,NOR,2,1,2,2013
2013-2014,Newcastle United,SOU,1,1,1,2013
2013-2014,Newcastle United,STK,5,1,2,2013
2013-2014,Newcastle United,SUN,0,3,0,2013
2013-2014,Newcastle United,SWA,1,2,0,2013
2013-2014,Newcastle United,TOT,0,4,0,2013
2013-2014,Newcastle United,WBA,2,1,2,2013
2013-2014,Newcastle United,WHU,0,0,1,2013
2013-2014,Norwich City,ARS,0,2,0,2013
2013-2014,Norwich City,AVL,0,1,0,2013
2013-2014,Norwich City,CAR,0,0,1,2013
2013-2014,Norwich City,CHE,1,3,0,2013
2013-2014,Norwich City,CRY,1,0,2,2013
2013-2014,Norwich City,EVE,2,2,1,2013
2013-2014,Norwich City,FUL,1,2,0,2013
2013-2014,Norwich City,HUL,1,0,2,2013
2013-2014,Norwich City,LIV,2,3,0,2013
2013-2014,Norwich City,MCI,0,0,1,2013
2013-2014,Norwich City,MUN,0,1,0,2013
2013-2014,Norwich City,NEW,0,0,1,2013
2013-2014,Norwich City,SOU,1,0,2,2013
2013-2014,Norwich City,STK,1,1,1,2013
2013-2014,Norwich City,SUN,2,0,2,2013
2013-2014,Norwich City,SWA,1,1,1,2013
2013-2014,Norwich City,TOT,1,0,2,2013
2013-2014,Norwich City,WBA,0,1,0,2013
2013-2014,Norwich City,WHU,3,1,2,2013
2013-2014,Southampton,ARS,2,2,1,2013
2013-2014,Southampton,AVL,2,3,0,2013
2013-2014,Southampton,CAR,0,1,0,2013
2013-2014,Southampton,CHE,0,3,0,2013
2013-2014,Southampton,CRY,2,0,2,2013
2013-2014,Southampton,EVE,2,0,2,2013
2013-2014,Southampton,FUL,2,0,2,2013
2013-2014,Southampton,HUL,4,1,2,2013
2013-2014,Southampton,LIV,0,3,0,2013
2013-2014,Southampton,MCI,1,1,1,2013
2013-2014,Southampton,MUN,1,1,1,2013
2013-2014,Southampton,NEW,4,0,2,2013
2013-2014,Southampton,NOR,4,2,2,2013
2013-2014,Southampton,STK,2,2,1,2013
2013-2014,Southampton,SUN,1,1,1,2013
2013-2014,Southampton,SWA,2,0,2,2013
2013-2014,Southampton,TOT,2,3,0,2013
2013-2014,Southampton,WBA,1,0,2,2013
2013-2014,Southampton,WHU,0,0,1,2013
2013-2014,Stoke City,ARS,1,0,2,2013
2013-2014,Stoke City,AVL,2,1,2,2013
2013-2014,Stoke City,CAR,0,0,1,2013
2013-2014,Stoke City,CHE,3,2,2,2013
2013-2014,Stoke City,CRY,2,1,2,2013
2013-2014,Stoke City,EVE,1,1,1,2013
2013-2014,Stoke City,FUL,4,1,2,2013
2013-2014,Stoke City,HUL,1,0,2,2013
2013-2014,Stoke City,LIV,3,5,0,2013
2013-2014,Stoke City,MCI,0,0,1,2013
2013-2014,Stoke City,MUN,2,1,2,2013
2013-2014,Stoke City,NEW,1,0,2,2013
2013-2014,Stoke City,NOR,0,1,0,2013
2013-2014,Stoke City,SOU,1,1,1,2013
2013-2014,Stoke City,SUN,2,0,2,2013
2013-2014,Stoke City,SWA,1,1,1,2013
2013-2014,Stoke City,TOT,0,1,0,2013
2013-2014,Stoke City,WBA,0,0,1,2013
2013-2014,Stoke City,WHU,3,1,2,2013
2013-2014,Sunderland,ARS,1,3,0,2013
2013-2014,Sunderland,AVL,0,1,0,2013
2013-2014,Sunderland,CAR,4,0,2,2013
2013-2014,Sunderland,CHE,3,4,0,2013
2013-2014,Sunderland,CRY,0,0,1,2013
2013-2014,Sunderland,EVE,0,1,0,2013
2013-2014,Sunderland,FUL,0,1,0,2013
2013-2014,Sunderland,HUL,0,2,0,2013
2013-2014,Sunderland,LIV,1,3,0,2013
2013-2014,Sunderland,MCI,1,0,2,2013
2013-2014,Sunderland,MUN,1,2,0,2013
2013-2014,Sunderland,NEW,2,1,2,2013
2013-2014,Sunderland,NOR,0,0,1,2013
2013-2014,Sunderland,SOU,2,2,1,2013
2013-2014,Sunderland,STK,1,0,2,2013
2013-2014,Sunderland,SWA,1,3,0,2013
2013-2014,Sunderland,TOT,1,2,0,2013
2013-2014,Sunderland,WBA,2,0,2,2013
2013-2014,Sunderland,WHU,1,2,0,2013
2013-2014,Swansea City,ARS,1,2,0,2013
2013-2014,Swansea City,AVL,4,1,2,2013
2013-2014,Swansea City,CAR,3,0,2,2013
2013-2014,Swansea City,CHE,0,1,0,2013
2013-2014,Swansea City,CRY,1,1,1,2013
2013-2014,Swansea City,EVE,1,2,0,2013
2013-2014,Swansea City,FUL,2,0,2,2013
2013-2014,Swansea City,HUL,1,1,1,2013
2013-2014,Swansea City,LIV,2,2,1,2013
2013-2014,Swansea City,MCI,2,3,0,2013
2013-2014,Swansea City,MUN,1,4,0,2013
2013-2014,Swansea City,NEW,3,0,2,2013
2013-2014,Swansea City,NOR,3,0,2,2013
2013-2014,Swansea City,SOU,0,1,0,2013
2013-2014,Swansea City,STK,3,3,1,2013
2013-2014,Swansea City,SUN,4,0,2,2013
2013-2014,Swansea City,TOT,1,3,0,2013
2013-2014,Swansea City,WBA,1,2,0,2013
2013-2014,Swansea City,WHU,0,0,1,2013
2013-2014,Tottenham Hotspur,ARS,0,1,0,2013
2013-2014,Tottenham Hotspur,AVL,3,0,2,2013
2013-2014,Tottenham Hotspur,CAR,1,0,2,2013
2013-2014,Tottenham Hotspur,CHE,1,1,1,2013
2013-2014,Tottenham Hotspur,CRY,2,0,2,2013
2013-2014,Tottenham Hotspur,EVE,1,0,2,2013
2013-2014,Tottenham Hotspur,FUL,3,1,2,2013
2013-2014,Tottenham Hotspur,HUL,1,0,2,2013
2013-2014,Tottenham Hotspur,LIV,0,5,0,2013
2013-2014,Tottenham Hotspur,MCI,1,5,0,2013
2013-2014,Tottenham Hotspur,MUN,2,2,1,2013
2013-2014,Tottenham Hotspur,NEW,0,1,0,2013
2013-2014,Tottenham Hotspur,NOR,2,0,2,2013
2013-2014,Tottenham Hotspur,SOU,3,2,2,2013
2013-2014,Tottenham Hotspur,STK,3,0,2,2013
2013-2014,Tottenham Hotspur,SUN,5,1,2,2013
2013-2014,Tottenham Hotspur,SWA,1,0,2,2013
2013-2014,Tottenham Hotspur,WBA,1,1,1,2013
2013-2014,Tottenham Hotspur,WHU,0,3,0,2013
2013-2014,West Bromwich Albion,ARS,1,1,1,2013
2013-2014,West Bromwich Albion,AVL,2,2,1,2013
2013-2014,West Bromwich Albion,CAR,3,3,1,2013
2013-2014,West Bromwich Albion,CHE,1,1,1,2013
2013-2014,West Bromwich Albion,CRY,2,0,2,2013
2013-2014,West Bromwich Albion,EVE,1,1,1,2013
2013-2014,West Bromwich Albion,FUL,1,1,1,2013
2013-2014,West Bromwich Albion,HUL,1,1,1,2013
2013-2014,West Bromwich Albion,LIV,1,1,1,2013
2013-2014,West Bromwich Albion,MCI,2,3,0,2013
2013-2014,West Bromwich Albion,MUN,0,3,0,2013
2013-2014,West Bromwich Albion,NEW,1,0,2,2013
2013-2014,West Bromwich Albion,NOR,0,2,0,2013
2013-2014,West Bromwich Albion,SOU,0,1,0,2013
2013-2014,West Bromwich Albion,STK,1,2,0,2013
2013-2014,West Bromwich Albion,SUN,3,0,2,2013
2013-2014,West Bromwich Albion,SWA,0,2,0,2013
2013-2014,West Bromwich Albion,TOT,3,3,1,2013
2013-2014,West Bromwich Albion,WHU,1,0,2,2013
2013-2014,West Ham United,ARS,1,3,0,2013
2013-2014,West Ham United,AVL,0,0,1,2013
2013-2014,West Ham United,CAR,2,0,2,2013
2013-2014,West Ham United,CHE,0,3,0,2013
2013-2014,West Ham United,CRY,0,1,0,2013
2013-2014,West Ham United,EVE,2,3,0,2013
2013-2014,West Ham United,FUL,3,0,2,2013
2013-2014,West Ham United,HUL,2,1,2,2013
2013-2014,West Ham United,LIV,1,2,0,2013
2013-2014,West Ham United,MCI,1,3,0,2013
2013-2014,West Ham United,MUN,0,2,0,2013
2013-2014,West Ham United,NEW,1,3,0,2013
2013-2014,West Ham United,NOR,2,0,2,2013
2013-2014,West Ham United,SOU,3,1,2,2013
2013-2014,West Ham United,STK,0,1,0,2013
2013-2014,West Ham United,SUN,0,0,1,2013
2013-2014,West Ham United,SWA,2,0,2,2013
2013-2014,West Ham United,TOT,2,0,2,2013
2013-2014,West Ham United,WBA,3,3,1,2013
2014-2015,Arsenal,AVL,5,0,2,2014
2014-2015,Arsenal,BUR,3,0,2,2014
2014-2015,Arsenal,CHE,0,0,1,2014
2014-2015,Arsenal,CRY,2,1,2,2014
2014-2015,Arsenal,EVE,2,0,2,2014
2014-2015,Arsenal,HUL,2,2,1,2014
2014-2015,Arsenal,LEI,2,1,2,2014
2014-2015,Arsenal,LIV,4,1,2,2014
2014-2015,Arsenal,MCI,2,2,1,2014
2014-2015,Arsenal,MUN,1,2,0,2014
2014-2015,Arsenal,NEW,4,1,2,2014
2014-2015,Arsenal,QPR,2,1,2,2014
2014-2015,Arsenal,SOU,1,0,2,2014
2014-2015,Arsenal,STK,3,0,2,2014
2014-2015,Arsenal,SUN,0,0,1,2014
2014-2015,Arsenal,SWA,0,1,0,2014
2014-2015,Arsenal,TOT,1,1,1,2014
2014-2015,Arsenal,WBA,4,1,2,2014
2014-2015,Arsenal,WHU,3,0,2,2014
2014-2015,Aston Villa,ARS,0,3,0,2014
2014-2015,Aston Villa,BUR,0,1,0,2014
2014-2015,Aston Villa,CHE,1,2,0,2014
2014-2015,Aston Villa,CRY,0,0,1,2014
2014-2015,Aston Villa,EVE,3,2,2,2014
2014-2015,Aston Villa,HUL,2,1,2,2014
2014-2015,Aston Villa,LEI,2,1,2,2014
2014-2015,Aston Villa,LIV,0,2,0,2014
2014-2015,Aston Villa,MCI,0,2,0,2014
2014-2015,Aston Villa,MUN,1,1,1,2014
2014-2015,Aston Villa,NEW,0,0,1,2014
2014-2015,Aston Villa,QPR,3,3,1,2014
2014-2015,Aston Villa,SOU,1,1,1,2014
2014-2015,Aston Villa,STK,1,2,0,2014
2014-2015,Aston Villa,SUN,0,0,1,2014
2014-2015,Aston Villa,SWA,0,1,0,2014
2014-2015,Aston Villa,TOT,1,2,0,2014
2014-2015,Aston Villa,WBA,2,1,2,2014
2014-2015,Aston Villa,WHU,1,0,2,2014
2014-2015,Burnley,ARS,0,1,0,2014
2014-2015,Burnley,AVL,1,1,1,2014
2014-2015,Burnley,CHE,1,3,0,2014
2014-2015,Burnley,CRY,2,3,0,2014
2014-2015,Burnley,EVE,1,3,0,2014
2014-2015,Burnley,HUL,1,0,2,2014
2014-2015,Burnley,LEI,0,1,0,2014
2014-2015,Burnley,LIV,0,1,0,2014
2014-2015,Burnley,MCI,1,0,2,2014
2014-2015,Burnley,MUN,0,0,1,2014
2014-2015,Burnley,NEW,1,1,1,2014
2014-2015,Burnley,QPR,2,1,2,2014
2014-2015,Burnley,SOU,1,0,2,2014
2014-2015,Burnley,STK,0,0,1,2014
2014-2015,Burnley,SUN,0,0,1,2014
2014-2015,Burnley,SWA,0,1,0,2014
2014-2015,Burnley,TOT,0,0,1,2014
2014-2015,Burnley,WBA,2,2,1,2014
2014-2015,Burnley,WHU,1,3,0,2014
2014-2015,Chelsea,ARS,2,0,2,2014
2014-2015,Chelsea,AVL,3,0,2,2014
2014-2015,Chelsea,BUR,1,1,1,2014
2014-2015,Chelsea,CRY,1,0,2,2014
2014-2015,Chelsea,EVE,1,0,2,2014
2014-2015,Chelsea,HUL,2,0,2,2014
2014-2015,Chelsea,LEI,2,0,2,2014
2014-2015,Chelsea,LIV,1,1,1,2014
2014-2015,Chelsea,MCI,1,1,1,2014
2014-2015,Chelsea,MUN,1,0,2,2014
2014-2015,Chelsea,NEW,2,0,2,2014
2014-2015,Chelsea,QPR,2,1,2,2014
2014-2015,Chelsea,SOU,1,1,1,2014
2014-2015,Chelsea,STK,2,1,2,2014
2014-2015,Chelsea,SUN,3,1,2,2014
2014-2015,Chelsea,SWA,4,2,2,2014
2014-2015,Chelsea,TOT,3,0,2,2014
2014-2015,Chelsea,WBA,2,0,2,2014
2014-2015,Chelsea,WHU,2,0,2,2014
2014-2015,Crystal Palace,ARS,1,2,0,2014
2014-2015,Crystal Palace,AVL,0,1,0,2014
2014-2015,Crystal Palace,BUR,0,0,1,2014
2014-2015,Crystal Palace,CHE,1,2,0,2014
2014-2015,Crystal Palace,EVE,0,1,0,2014
2014-2015,Crystal Palace,HUL,0,2,0,2014
2014-2015,Crystal Palace,LEI,2,0,2,2014
2014-2015,Crystal Palace,LIV,3,1,2,2014
2014-2015,Crystal Palace,MCI,2,1,2,2014
2014-2015,Crystal Palace,MUN,1,2,0,2014
2014-2015,Crystal Palace,NEW,1,1,1,2014
2014-2015,Crystal Palace,QPR,3,1,2,2014
2014-2015,Crystal Palace,SOU,1,3,0,2014
2014-2015,Crystal Palace,STK,1,1,1,2014
2014-2015,Crystal Palace,SUN,1,3,0,2014
2014-2015,Crystal Palace,SWA,1,0,2,2014
2014-2015,Crystal Palace,TOT,2,1,2,2014
2014-2015,Crystal Palace,WBA,0,2,0,2014
2014-2015,Crystal Palace,WHU,1,3,0,2014
2014-2015,Everton,ARS,2,2,1,2014
2014-2015,Everton,AVL,3,0,2,2014
2014-2015,Everton,BUR,1,0,2,2014
2014-2015,Everton,CHE,3,6,0,2014
2014-2015,Everton,CRY,2,3,0,2014
2014-2015,Everton,HUL,1,1,1,2014
2014-2015,Everton,LEI,2,2,1,2014
2014-2015,Everton,LIV,0,0,1,2014
2014-2015,Everton,MCI,1,1,1,2014
2014-2015,Everton,MUN,3,0,2,2014
2014-2015,Everton,NEW,3,0,2,2014
2014-2015,Everton,QPR,3,1,2,2014
2014-2015,Everton,SOU,1,0,2,2014
2014-2015,Everton,STK,0,1,0,2014
2014-2015,Everton,SUN,0,2,0,2014
2014-2015,Everton,SWA,0,0,1,2014
2014-2015,Everton,TOT,0,1,0,2014
2014-2015,Everton,WBA,0,0,1,2014
2014-2015,Everton,WHU,2,1,2,2014
2014-2015,Hull City,ARS,1,3,0,2014
2014-2015,Hull City,AVL,2,0,2,2014
2014-2015,Hull City,BUR,0,1,0,2014
2014-2015,Hull City,CHE,2,3,0,2014
2014-2015,Hull City,CRY,2,0,2,2014
2014-2015,Hull City,EVE,2,0,2,2014
2014-2015,Hull City,LEI,0,1,0,2014
2014-2015,Hull City,LIV,1,0,2,2014
2014-2015,Hull City,MCI,2,4,0,2014
2014-2015,Hull City,MUN,0,0,1,2014
2014-2015,Hull City,NEW,0,3,0,2014
2014-2015,Hull City,QPR,2,1,2,2014
2014-2015,Hull City,SOU,0,1,0,2014
2014-2015,Hull City,STK,1,1,1,2014
2014-2015,Hull City,SUN,1,1,1,2014
2014-2015,Hull City,SWA,0,1,0,2014
2014-2015,Hull City,TOT,1,2,0,2014
2014-2015,Hull City,WBA,0,0,1,2014
2014-2015,Hull City,WHU,2,2,1,2014
2014-2015,Leicester City,ARS,1,1,1,2014
2014-2015,Leicester City,AVL,1,0,2,2014
2014-2015,Leicester City,BUR,2,2,1,2014
2014-2015,Leicester City,CHE,1,3,0,2014
2014-2015,Leicester City,CRY,0,1,0,2014
2014-2015,Leicester City,EVE,2,2,1,2014
2014-2015,Leicester City,HUL,0,0,1,2014
2014-2015,Leicester City,LIV,1,3,0,2014
2014-2015,Leicester City,MCI,0,1,0,2014
2014-2015,Leicester City,MUN,5,3,2,2014
2014-2015,Leicester City,NEW,3,0,2,2014
2014-2015,Leicester City,QPR,5,1,2,2014
2014-2015,Leicester City,SOU,2,0,2,2014
2014-2015,Leicester City,STK,0,1,0,2014
2014-2015,Leicester City,SUN,0,0,1,2014
2014-2015,Leicester City,SWA,2,0,2,2014
2014-2015,Leicester City,TOT,1,2,0,2014
2014-2015,Leicester City,WBA,0,1,0,2014
2014-2015,Leicester City,WHU,2,1,2,2014
2014-2015,Liverpool,ARS,2,2,1,2014
2014-2015,Liverpool,AVL,0,1,0,2014
2014-2015,Liverpool,BUR,2,0,2,2014
2014-2015,Liverpool,CHE,1,2,0,2014
2014-2015,Liverpool,CRY,1,3,0,2014
2014-2015,Liverpool,EVE,1,1,1,2014
2014-2015,Liverpool,HUL,0,0,1,2014
2014-2015,Liverpool,LEI,2,2,1,2014
2014-2015,Liverpool,MCI,2,1,2,2014
2014-2015,Liverpool,MUN,1,2,0,2014
2014-2015,Liverpool,NEW,2,0,2,2014
2014-2015,Liverpool,QPR,2,1,2,2014
2014-2015,Liverpool,SOU,2,1,2,2014
2014-2015,Liverpool,STK,1,0,2,2014
2014-2015,Liverpool,SUN,0,0,1,2014
2014-2015,Liverpool,SWA,4,1,2,2014
2014-2015,Liverpool,TOT,3,2,2,2014
2014-2015,Liverpool,WBA,2,1,2,2014
2014-2015,Liverpool,WHU,2,0,2,2014
2014-2015,Manchester City,ARS,0,2,0,2014
2014-2015,Manchester City,AVL,3,2,2,2014
2014-2015,Manchester City,BUR,2,2,1,2014
2014-2015,Manchester City,CHE,1,1,1,2014
2014-2015,Manchester City,CRY,3,0,2,2014
2014-2015,Manchester City,EVE,1,0,2,2014
2014-2015,Manchester City,HUL,1,1,1,2014
2014-2015,Manchester City,LEI,2,0,2,2014
2014-2015,Manchester City,LIV,3,1,2,2014
2014-2015,Manchester City,MUN,1,0,2,2014
2014-2015,Manchester City,NEW,5,0,2,2014
2014-2015,Manchester City,QPR,6,0,2,2014
2014-2015,Manchester City,SOU,2,0,2,2014
2014-2015,Manchester City,STK,0,1,0,2014
2014-2015,Manchester City,SUN,3,2,2,2014
2014-2015,Manchester City,SWA,2,1,2,2014
2014-2015,Manchester City,TOT,4,1,2,2014
2014-2015,Manchester City,WBA,3,0,2,2014
2014-2015,Manchester City,WHU,2,0,2,2014
2014-2015,Manchester United,ARS,1,1,1,2014
2014-2015,Manchester United,AVL,3,1,2,2014
2014-2015,Manchester United,BUR,3,1,2,2014
2014-2015,Manchester United,CHE,1,1,1,2014
2014-2015,Manchester United,CRY,1,0,2,2014
2014-2015,Manchester United,EVE,2,1,2,2014
2014-2015,Manchester United,HUL,3,0,2,2014
2014-2015,Manchester United,LEI,3,1,2,2014
2014-2015,Manchester United,LIV,3,0,2,2014
2014-2015,Manchester United,MCI,4,2,2,2014
2014-2015,Manchester United,NEW,3,1,2,2014
2014-2015,Manchester United,QPR,4,0,2,2014
2014-2015,Manchester United,SOU,0,1,0,2014
2014-2015,Manchester United,STK,2,1,2,2014
2014-2015,Manchester United,SUN,2,0,2,2014
2014-2015,Manchester United,SWA,1,2,0,2014
2014-2015,Manchester United,TOT,3,0,2,2014
2014-2015,Manchester United,WBA,0,1,0,2014
2014-2015,Manchester United,WHU,2,1,2,2014
2014-2015,Newcastle United,ARS,1,2,0,2014
2014-2015,Newcastle United,AVL,1,0,2,2014
2014-2015,Newcastle United,BUR,3,3,1,2014
2014-2015,Newcastle United,CHE,2,1,2,2014
2014-2015,Newcastle United,CRY,3,3,1,2014
2014-2015,Newcastle United,EVE,3,2,2,2014
2014-2015,Newcastle United,HUL,2,2,1,2014
2014-2015,Newcastle United,LEI,1,0,2,2014
2014-2015,Newcastle United,LIV,1,0,2,2014
2014-2015,Newcastle United,MCI,0,2,0,2014
2014-2015,Newcastle United,MUN,0,1,0,2014
2014-2015,Newcastle United,QPR,1,0,2,2014
2014-2015,Newcastle United,SOU,1,2,0,2014
2014-2015,Newcastle United,STK,1,1,1,2014
2014-2015,Newcastle United,SUN,0,1,0,2014
2014-2015,Newcastle United,SWA,2,3,0,2014
2014-2015,Newcastle United,TOT,1,3,0,2014
2014-2015,Newcastle United,WBA,1,1,1,2014
2014-2015,Newcastle United,WHU,2,0,2,2014
2014-2015,Queens Park Rangers,ARS,1,2,0,2014
2014-2015,Queens Park Rangers,AVL,2,0,2,2014
2014-2015,Queens Park Rangers,BUR,2,0,2,2014
2014-2015,Queens Park Rangers,CHE,0,1,0,2014
2014-2015,Queens Park Rangers,CRY,0,0,1,2014
2014-2015,Queens Park Rangers,EVE,1,2,0,2014
2014-2015,Queens Park Rangers,HUL,0,1,0,2014
2014-2015,Queens Park Rangers,LEI,3,2,2,2014
2014-2015,Queens Park Rangers,LIV,2,3,0,2014
2014-2015,Queens Park Rangers,MCI,2,2,1,2014
2014-2015,Queens Park Rangers,MUN,0,2,0,2014
2014-2015,Queens Park Rangers,NEW,2,1,2,2014
2014-2015,Queens Park Rangers,SOU,0,1,0,2014
2014-2015,Queens Park Rangers,STK,2,2,1,2014
2014-2015,Queens Park Rangers,SUN,1,0,2,2014
2014-2015,Queens Park Rangers,SWA,1,1,1,2014
2014-2015,Queens Park Rangers,TOT,1,2,0,2014
2014-2015,Queens Park Rangers,WBA,3,2,2,2014
2014-2015,Queens Park Rangers,WHU,0,0,1,2014
2014-2015,Southampton,ARS,2,0,2,2014
2014-2015,Southampton,AVL,6,1,2,2014
2014-2015,Southampton,BUR,2,0,2,2014
2014-2015,Southampton,CHE,1,1,1,2014
2014-2015,Southampton,CRY,1,0,2,2014
2014-2015,Southampton,EVE,3,0,2,2014
2014-2015,Southampton,HUL,2,0,2,2014
2014-2015,Southampton,LEI,2,0,2,2014
2014-2015,Southampton,LIV,0,2,0,2014
2014-2015,Southampton,MCI,0,3,0,2014
2014-2015,Southampton,MUN,1,2,0,2014
2014-2015,Southampton,NEW,4,0,2,2014
2014-2015,Southampton,QPR,2,1,2,2014
2014-2015,Southampton,STK,1,0,2,2014
2014-2015,Southampton,SUN,8,0,2,2014
2014-2015,Southampton,SWA,0,1,0,2014
2014-2015,Southampton,TOT,2,2,1,2014
2014-2015,Southampton,WBA,0,0,1,2014
2014-2015,Southampton,WHU,0,0,1,2014
2014-2015,Stoke City,ARS,3,2,2,2014
2014-2015,Stoke City,AVL,0,1,0,2014
2014-2015,Stoke City,BUR,1,2,0,2014
2014-2015,Stoke City,CHE,0,2,0,2014
2014-2015,Stoke City,CRY,1,2,0,2014
2014-2015,Stoke City,EVE,2,0,2,2014
2014-2015,Stoke City,HUL,1,0,2,2014
2014-2015,Stoke City,LEI,0,1,0,2014
2014-2015,Stoke City,LIV,6,1,2,2014
2014-2015,Stoke City,MCI,1,4,0,2014
2014-2015,Stoke City,MUN,1,1,1,2014
2014-2015,Stoke City,NEW,1,0,2,2014
2014-2015,Stoke City,QPR,3,1,2,2014
2014-2015,Stoke City,SOU,2,1,2,2014
2014-2015,Stoke City,SUN,1,1,1,2014
2014-2015,Stoke City,SWA,2,1,2,2014
2014-2015,Stoke City,TOT,3,0,2,2014
2014-2015,Stoke City,WBA,2,0,2,2014
2014-2015,Stoke City,WHU,2,2,1,2014
2014-2015,Sunderland,ARS,0,2,0,2014
2014-2015,Sunderland,AVL,0,4,0,2014
2014-2015,Sunderland,BUR,2,0,2,2014
2014-2015,Sunderland,CHE,0,0,1,2014
2014-2015,Sunderland,CRY,1,4,0,2014
2014-2015,Sunderland,EVE,1,1,1,2014
2014-2015,Sunderland,HUL,1,3,0,2014
